station,target,RMSE,MAE,R2,test_amount
臺大獸醫館南側,net_borrow,6.1659545385951215,3.905702007199586,0.23528101712677485,2160
臺大生命科學館西北側,borrow_count,5.64169091257085,3.855090175460692,0.6067501523326144,2136
臺大生命科學館西北側,return_count,4.727470754855276,2.9225063245976757,0.6939983634175826,2136
臺大生命科學館西北側,net_borrow,4.887386454513221,3.227753412388616,0.0690836235733655,2136
臺大男一舍前,borrow_count,13.268414147672921,9.190951928239873,0.604394679388516,2184
臺大男一舍前,return_count,12.693992173039984,9.214019891298213,0.6167522325357557,2184
臺大男一舍前,net_borrow,9.925368182396598,6.980644619540913,0.42782828295483566,2184
臺大男七舍前,borrow_count,4.717734515287845,3.3775717803422785,0.6163909872504083,2184
臺大男七舍前,return_count,5.038924482020469,3.7476626933195925,0.5381189334703986,2184
臺大男七舍前,net_borrow,4.0400631064664765,2.9078885700641908,0.1702860546986067,2184
臺大男八舍東側,borrow_count,5.905284736464392,4.39285926124814,0.46961455095718296,2184
臺大男八舍東側,return_count,6.169619525990472,4.605231857631797,0.503898074793074,2184
臺大男八舍東側,net_borrow,5.224423005905124,3.5023367875623608,0.41073278514433575,2184
臺大男六舍前,borrow_count,7.317290169565903,4.950444292607088,0.49222960357305656,2208
臺大男六舍前,return_count,8.79173567147399,6.5904057905307845,0.21784537245883984,2208
臺大男六舍前,net_borrow,9.090761875102162,6.540583405912682,0.3726867546030973,2208
臺大社會系館南側,borrow_count,12.47704886049194,7.021108618945166,0.53649305737513,2112
臺大社會系館南側,return_count,10.912753419343078,6.208326754620643,0.6660923162519979,2112
臺大社會系館南側,net_borrow,15.383832979093688,9.217689695196189,0.4639370832942715,2112
臺大社科院圖書館前,borrow_count,6.339096008218205,4.092370165917215,0.6205061768131708,2160
臺大社科院圖書館前,return_count,5.84838048976405,3.878755420444885,0.6427338936053826,2160
臺大社科院圖書館前,net_borrow,4.64726524953873,2.923003952988993,-0.02954301972760809,2160
臺大社科院西側,borrow_count,13.704235197184296,8.426454587740567,0.6820888476015542,2160
臺大社科院西側,return_count,12.740227150943344,7.891783757314431,0.6804924453273757,2160
臺大社科院西側,net_borrow,8.960479170178528,5.503337223099372,0.4482236422262811,2160
臺大禮賢樓東南側,borrow_count,6.4031591264692915,4.140747587391259,0.5129492418272923,2136
臺大禮賢樓東南側,return_count,5.44778393383841,3.417774884948653,0.5659718723678997,2136
臺大禮賢樓東南側,net_borrow,5.589977164433112,3.4315823497213036,0.07558180772903522,2136
臺大立體機車停車場,borrow_count,5.910958822198239,3.786093774084772,0.6560391418498073,2160
臺大立體機車停車場,return_count,5.3814536517137075,3.6027401241867687,0.688837679092348,2160
臺大立體機車停車場,net_borrow,4.589645801425356,2.8176922819257006,0.08469887142466626,2160
臺大第一活動中心西南側,borrow_count,24.32272791142498,14.908623895539185,0.6696106310403891,2184
臺大第一活動中心西南側,return_count,21.209732069693374,13.267157081555704,0.6922012292200899,2184
臺大第一活動中心西南側,net_borrow,13.853008407016908,8.555076825909065,0.47102826680209453,2184
臺大第二行政大樓南側,borrow_count,3.3863490325735843,2.095470349389793,0.572130005347989,2112
臺大第二行政大樓南側,return_count,2.99831935434055,1.8686077959091418,0.6176447201501122,2112
臺大第二行政大樓南側,net_borrow,2.3949859386010233,1.4663259206801023,0.00144137568291558,2112
臺大管理學院二館北側,borrow_count,6.965780073942415,4.503362644532341,0.5184841313834458,2136
臺大管理學院二館北側,return_count,6.864353681784344,4.152639718810431,0.582413627543244,2136
臺大管理學院二館北側,net_borrow,6.284479175155611,3.8727072633653745,0.032097016015283586,2136
臺大綜合體育館停車場前,borrow_count,3.413732363277646,2.2421083119531273,0.3457001189231437,2136
臺大綜合體育館停車場前,return_count,3.5642638610168857,2.2391110190027197,0.3191032035926331,2136
臺大綜合體育館停車場前,net_borrow,4.236093208695007,2.5188062682338384,0.08054306701125025,2136
臺大總圖書館西南側,borrow_count,9.377741125654719,5.784606207794609,0.4849123107498391,2160
臺大總圖書館西南側,return_count,7.591444079453537,4.883979837419818,0.5318085430339483,2160
臺大總圖書館西南側,net_borrow,7.014231805922569,4.3836728346853855,0.3265240067392683,2160
臺大舊體育館西側,borrow_count,10.835474522580883,7.065151441002023,0.4404479953839118,2160
臺大舊體育館西側,return_count,10.161342457289859,6.8330444094761384,0.42967565314132616,2160
臺大舊體育館西側,net_borrow,8.602261485646054,5.445818516805328,0.13460696855886634,2160
臺大萬才館前,borrow_count,3.0979289778099024,2.0675692213349355,0.5092641988928239,2160
臺大萬才館前,return_count,2.5385643963847735,1.7620729290808623,0.44661967829841676,2160
臺大萬才館前,net_borrow,3.1235798138931905,2.0055261337829533,0.1568038035807079,2160
臺大計資中心南側,borrow_count,5.780326549504041,3.3143433925233854,0.5139767063084926,2112
臺大計資中心南側,return_count,5.118725124734553,2.966889283298599,0.6518689836594214,2112
臺大計資中心南側,net_borrow,6.981431576462,4.226702664079156,0.45413573442165156,2112
臺大資訊大樓,borrow_count,6.112967299095587,3.6540166779963466,0.36889764029901095,2160
臺大資訊大樓,return_count,6.20253155848681,3.3250002065082844,0.30352298492527285,2160
臺大資訊大樓,net_borrow,8.250603910776102,4.800473844688096,0.2185494253858662,2160
臺大農化新館西側,borrow_count,3.7432664442992856,2.8221922015779217,0.5216049393713381,2160
臺大農化新館西側,return_count,3.555870785801931,2.6725900287394744,0.5547043025727271,2160
臺大農化新館西側,net_borrow,2.5142153517700763,1.8115096480508077,-0.005117493390097927,2160
臺大農業陳列館北側,borrow_count,9.070406518155236,6.39250298228597,0.37441092372997387,2160
臺大農業陳列館北側,return_count,7.774938660452695,5.350350875992757,0.6019148166905175,2160
臺大農業陳列館北側,net_borrow,7.37127565813204,4.952007608584014,0.19376191743721172,2160
臺大鄭江樓北側,borrow_count,7.118074374522484,4.341944098359056,0.4782016274687676,2184
臺大鄭江樓北側,return_count,6.213485199274234,3.598802324102738,0.5522537087963013,2184
臺大鄭江樓北側,net_borrow,6.68672997986162,3.9316709904492124,0.05628511180109974,2184
臺大電機二館東南側,borrow_count,5.030383209210236,3.2740028464420345,0.6097268765734761,2160
