sno,station,date,hour,borrow_count,return_count,net_borrow,borrow_pred,return_pred,net_borrow_pred,inventory,total
500101041,辛亥新生路口東南側,2024-12-08,6,0,1,-1,9.396282075663178,6.625740490876193,3.0740123145867146,41,41
500101041,辛亥新生路口東南側,2024-12-08,7,3,9,-6,6.420925308356703,8.19285891607782,-2.8863674527579097,41,41
500101041,辛亥新生路口東南側,2024-12-08,8,1,11,-10,6.605110787044253,8.550575889614441,-3.0870140369061283,41,41
500101041,辛亥新生路口東南側,2024-12-08,9,7,6,1,7.361642366859128,8.274934259978922,-1.9961530957714517,41,41
500101041,辛亥新生路口東南側,2024-12-08,10,6,2,4,11.028686145487296,9.908910190191962,0.7632473955684429,41,41
500101041,辛亥新生路口東南側,2024-12-08,11,7,9,-2,12.957049609959743,11.285959624375272,1.4619138693633977,41,41
500101041,辛亥新生路口東南側,2024-12-08,12,6,11,-5,13.254028593698438,12.47598108125206,0.4163567724102312,41,41
500101041,辛亥新生路口東南側,2024-12-08,13,10,19,-9,13.61937845720059,15.335203687647926,-1.011207507944457,41,41
500101041,辛亥新生路口東南側,2024-12-08,14,8,6,2,14.085533319457351,15.057149563238372,-0.373436974157106,41,41
500101041,辛亥新生路口東南側,2024-12-08,15,6,6,0,12.019604884464938,13.482485231614364,-0.3477863746499986,41,41
500101041,辛亥新生路口東南側,2024-12-08,16,14,9,5,12.044702067206066,13.414009061560018,-0.48343221328203867,41,41
500101041,辛亥新生路口東南側,2024-12-08,17,5,14,-9,14.348448018321797,15.264119575786196,-0.7969131274866144,41,41
500101041,辛亥新生路口東南側,2024-12-08,18,2,6,-4,10.847436518811596,12.30016305919458,-1.2229751229594747,41,41
500101041,辛亥新生路口東南側,2024-12-08,19,8,3,5,11.240858903460882,12.886520805071154,-0.7908814563345702,41,41
500101041,辛亥新生路口東南側,2024-12-08,20,5,5,0,7.558378456913511,6.117363998425893,1.2436806538067622,41,41
500101041,辛亥新生路口東南側,2024-12-08,21,5,5,0,7.878137286587977,5.650890381369386,1.4692197162541725,41,41
500101041,辛亥新生路口東南側,2024-12-08,22,2,3,-1,7.024180079656464,5.5104096943192475,1.1006244691668592,41,41
500101041,辛亥新生路口東南側,2024-12-08,23,4,2,2,1.5547022301122297,1.9676238484444346,-0.40950818279485046,41,41
500101041,辛亥新生路口東南側,2024-12-09,0,0,0,0,0.9307029029334679,0.6637815079911975,0.31813870528485566,41,41
500101041,辛亥新生路口東南側,2024-12-09,1,0,0,0,1.1449119578646796,0.9604370605900704,0.23617871279102615,41,41
500101041,辛亥新生路口東南側,2024-12-09,2,1,0,1,1.1620456850154506,1.1149938741487886,0.22612615574763761,41,41
500101041,辛亥新生路口東南側,2024-12-09,3,0,0,0,1.2393491506637844,0.9155366295441076,0.3509098418247561,41,41
500101041,辛亥新生路口東南側,2024-12-09,4,0,1,-1,1.1574674721214904,0.7877260514150994,0.3426436543876866,41,41
500101041,辛亥新生路口東南側,2024-12-09,5,0,1,-1,1.1789910339978424,0.8091045118638911,0.3848026706226239,41,41
500101041,辛亥新生路口東南側,2024-12-09,6,3,1,2,7.353478294846148,3.8136227262430493,3.449178348422766,41,41
500101041,辛亥新生路口東南側,2024-12-09,7,5,11,-6,9.418009209690425,6.322158186676355,2.008420309226984,41,41
500101041,辛亥新生路口東南側,2024-12-09,8,29,8,21,9.302494943581923,6.187645843148956,4.358456130929687,41,41
500101041,辛亥新生路口東南側,2024-12-09,9,18,1,17,10.616609056153273,5.9451140358126615,5.565484408934437,41,41
500101041,辛亥新生路口東南側,2024-12-09,10,6,5,1,7.666390103923984,8.830347427555331,-0.816954584671997,41,41
500101041,辛亥新生路口東南側,2024-12-09,11,5,5,0,6.9291323749438325,8.158253712348996,-1.1482321621722706,41,41
500101041,辛亥新生路口東南側,2024-12-09,12,7,6,1,7.191882579934059,7.062864196082938,-0.032625134321874395,41,41
500101041,辛亥新生路口東南側,2024-12-09,13,5,5,0,7.160407226775229,10.000224800845247,-2.293984481509032,41,41
500101041,辛亥新生路口東南側,2024-12-09,14,5,6,-1,6.937815348483176,9.337662841798917,-2.622838930278873,41,41
500101041,辛亥新生路口東南側,2024-12-09,15,5,7,-2,6.7412438920093045,11.229702531388162,-3.766846153251657,41,41
500101041,辛亥新生路口東南側,2024-12-09,16,9,12,-3,7.722828801542497,10.724078220989695,-2.582506200680112,41,41
500101041,辛亥新生路口東南側,2024-12-09,17,20,17,3,14.602846084171281,17.101927384398408,-2.9405468788463547,41,41
500101041,辛亥新生路口東南側,2024-12-09,18,13,16,-3,11.623396271535055,17.353229394460282,-4.6732629879341285,41,41
500101041,辛亥新生路口東南側,2024-12-09,19,10,23,-13,11.859082258145401,17.322228259912833,-4.86760978986459,41,41
500101041,辛亥新生路口東南側,2024-12-09,20,5,12,-7,12.18572743444774,6.54757704751276,4.6325271834789605,41,41
500101041,辛亥新生路口東南側,2024-12-09,21,15,9,6,11.10456414904729,6.247605627740509,4.774332344685526,41,41
500101041,辛亥新生路口東南側,2024-12-09,22,17,8,9,9.048420475938471,5.2523503428349265,3.604358369994777,41,41
500101041,辛亥新生路口東南側,2024-12-09,23,5,2,3,1.1629525470180295,0.9516596315662056,0.315657288736051,41,41
500101041,辛亥新生路口東南側,2024-12-10,0,3,2,1,1.3299835113608407,0.9313703012891474,0.3151232943355376,41,41
500101041,辛亥新生路口東南側,2024-12-10,1,1,1,0,1.1388437015242703,0.6932489621686457,0.3466912433520422,41,41
500101041,辛亥新生路口東南側,2024-12-10,2,3,0,3,0.9933934515128119,0.5994748911937857,0.27405533537154664,41,41
500101041,辛亥新生路口東南側,2024-12-10,3,0,0,0,1.0063130854449922,0.7993202822669795,0.12495669297521822,41,41
500101041,辛亥新生路口東南側,2024-12-10,4,0,1,-1,0.914185977112617,0.744842129815973,0.14707508797291335,41,41
500101041,辛亥新生路口東南側,2024-12-10,5,0,0,0,0.9667413391645081,0.7350900968875742,0.2870529553966199,41,41
500101041,辛亥新生路口東南側,2024-12-10,6,4,2,2,7.28503033758025,3.526664406633734,3.353416146504076,41,41
500101041,辛亥新生路口東南側,2024-12-10,7,8,7,1,9.894473911947467,7.107068916399708,1.8652766636564062,41,41
500101041,辛亥新生路口東南側,2024-12-10,8,5,4,1,10.907903431298461,8.245945214801646,4.618366086162588,41,41
500101041,辛亥新生路口東南側,2024-12-10,9,7,7,0,10.65483866252169,7.817331715568635,4.853970208658612,41,41
500101041,辛亥新生路口東南側,2024-12-10,10,4,6,-2,8.716602827039113,11.649229229246018,-3.1375672909151913,41,41
500101041,辛亥新生路口東南側,2024-12-10,11,4,3,1,9.628430105911956,10.488146960369342,-0.3538419523757886,41,41
500101041,辛亥新生路口東南側,2024-12-10,12,3,4,-1,8.543889887932046,8.764344508120082,0.5114266305806939,41,41
500101041,辛亥新生路口東南側,2024-12-10,13,7,12,-5,7.531711233326209,7.950090814207449,-0.5411789388680533,41,41
500101041,辛亥新生路口東南側,2024-12-10,14,7,5,2,9.90796815724813,9.526395823481558,-0.09315127399742876,41,41
500101041,辛亥新生路口東南側,2024-12-10,15,13,20,-7,8.249752968716074,8.932411965406928,-0.5382657661374303,41,41
500101041,辛亥新生路口東南側,2024-12-10,16,11,16,-5,7.7815894402990855,8.185101455225759,-0.10542403490615088,41,41
500101041,辛亥新生路口東南側,2024-12-10,17,20,23,-3,15.379318473375278,18.20932328781843,-3.046203107256774,41,41
500101041,辛亥新生路口東南側,2024-12-10,18,14,26,-12,9.854426130648033,13.632846020965438,-3.046793218513236,41,41
500101041,辛亥新生路口東南側,2024-12-10,19,5,13,-8,9.92238977710171,13.78080677279924,-3.102976543379933,41,41
500101041,辛亥新生路口東南側,2024-12-10,20,25,14,11,7.205934894275831,4.924590836180003,2.6476008566720086,41,41
500101041,辛亥新生路口東南側,2024-12-10,21,30,4,26,8.938939969786526,6.071949987462049,2.9111235158339004,41,41
500101041,辛亥新生路口東南側,2024-12-10,22,6,3,3,7.692437041464274,4.82116621901254,2.8392880528687257,41,41
500101041,辛亥新生路口東南側,2024-12-10,23,0,0,0,1.2915375292573998,0.9596664920914284,0.31593095142056177,41,41
500101041,辛亥新生路口東南側,2024-12-11,0,0,0,0,1.2893683371967075,0.8045133151011242,0.39126249714861194,41,41
500101041,辛亥新生路口東南側,2024-12-11,1,0,0,0,1.3826107765167064,0.8918684855818058,0.3140910790136592,41,41
500101041,辛亥新生路口東南側,2024-12-11,2,0,0,0,0.9916442536007847,0.9224361058364394,0.011613430943446842,41,41
500101041,辛亥新生路口東南側,2024-12-11,3,0,1,-1,1.0792416754145422,1.1671819660429623,-0.02481924646124787,41,41
500101041,辛亥新生路口東南側,2024-12-11,4,1,0,1,1.3559421741825994,0.8853878181650714,0.2996032887489599,41,41
500101041,辛亥新生路口東南側,2024-12-11,5,0,3,-3,1.117161350317331,0.8122065901342524,0.2801876766925394,41,41
500101041,辛亥新生路口東南側,2024-12-11,6,1,1,0,8.040886645683159,3.9909180626124696,3.4946470594367933,41,41
500101041,辛亥新生路口東南側,2024-12-11,7,16,12,4,8.515322538234745,7.7652302022522806,0.6504039182658775,41,41
500101041,辛亥新生路口東南側,2024-12-11,8,23,7,16,9.525432930506348,6.790867351256777,3.338773546131979,41,41
500101041,辛亥新生路口東南側,2024-12-11,9,5,5,0,8.680347715763363,6.3921735869967975,3.1500286275980365,41,41
500101041,辛亥新生路口東南側,2024-12-11,10,5,5,0,7.276284516166365,7.804668133529613,-0.9310714377279987,41,41
500101041,辛亥新生路口東南側,2024-12-11,11,4,5,-1,7.863080982569403,8.060919054814715,-1.0413439148365864,41,41
500101041,辛亥新生路口東南側,2024-12-11,12,6,7,-1,7.176521497064797,8.130906397562224,-1.0033753384508524,41,41
500101041,辛亥新生路口東南側,2024-12-11,13,10,12,-2,7.549154620351402,10.037304740146354,-3.054438473981549,41,41
500101041,辛亥新生路口東南側,2024-12-11,14,8,5,3,8.0891600896943,10.643071773314881,-2.8850640354489014,41,41
500101041,辛亥新生路口東南側,2024-12-11,15,5,9,-4,8.188948021048564,10.208646390408944,-2.3851139826712515,41,41
500101041,辛亥新生路口東南側,2024-12-11,16,8,5,3,8.146390483136368,10.21741680890795,-1.80853915984057,41,41
500101041,辛亥新生路口東南側,2024-12-11,17,17,16,1,14.510297154624638,17.91774024924026,-2.92160504028195,41,41
500101041,辛亥新生路口東南側,2024-12-11,18,17,16,1,11.80697421969524,16.35635178916027,-3.732278879505291,41,41
