station,target,R2_12m,RMSE_12m,MAE_12m,test_n,model_path
臺大小小福西南側,net_borrow,0.014441836679207842,1.6002151249421435,0.9918546973066239,743,models/model_臺大小小福西南側_net_borrow.rds
臺大小福樓東側,borrow_count,0.6163740405255291,18.283266483116638,10.805599238555367,743,models/model_臺大小福樓東側_borrow_count.rds
臺大小福樓東側,return_count,0.5831256692025665,17.828558731267044,10.704438440947284,743,models/model_臺大小福樓東側_return_count.rds
臺大小福樓東側,net_borrow,0.5281609007538923,8.29202439232087,5.185655775106386,743,models/model_臺大小福樓東側_net_borrow.rds
臺大工綜館南側,borrow_count,0.6771231307143433,7.19742345673955,5.072682732359783,743,models/model_臺大工綜館南側_borrow_count.rds
臺大工綜館南側,return_count,0.7190803846532022,6.4504132379031605,4.284612214377459,743,models/model_臺大工綜館南側_return_count.rds
臺大工綜館南側,net_borrow,0.4692484548933388,6.956255462461366,4.748941686936626,743,models/model_臺大工綜館南側_net_borrow.rds
臺大心理系館南側,borrow_count,0.6581906256737641,4.602191401257687,2.8043943376122273,743,models/model_臺大心理系館南側_borrow_count.rds
臺大心理系館南側,return_count,0.7175392147364085,3.95202072443921,2.5892303802052012,743,models/model_臺大心理系館南側_return_count.rds
臺大心理系館南側,net_borrow,0.5782092750356194,5.054223312758883,3.097037407841683,743,models/model_臺大心理系館南側_net_borrow.rds
臺大思亮館東南側,borrow_count,0.4160905734165754,3.204108433868946,2.004108724211806,743,models/model_臺大思亮館東南側_borrow_count.rds
臺大思亮館東南側,return_count,0.5622414564862477,2.903872639044861,1.7652683833812504,743,models/model_臺大思亮館東南側_return_count.rds
臺大思亮館東南側,net_borrow,0.3921555805207593,3.9700211891327335,2.3442667386894085,743,models/model_臺大思亮館東南側_net_borrow.rds
臺大教研館北側,borrow_count,0.5305178150476211,4.592652156216454,3.1274127661285274,743,models/model_臺大教研館北側_borrow_count.rds
臺大教研館北側,return_count,0.6264344146242503,3.3751391541035645,2.352451070677154,743,models/model_臺大教研館北側_return_count.rds
臺大教研館北側,net_borrow,0.17615628294439967,4.085131191832244,2.674777108522086,743,models/model_臺大教研館北側_net_borrow.rds
臺大新生教室南側,borrow_count,0.35581710793611654,7.582628978922553,4.433460356898789,743,models/model_臺大新生教室南側_borrow_count.rds
臺大新生教室南側,return_count,0.24827496554436057,7.567104020116896,4.504561505122999,743,models/model_臺大新生教室南側_return_count.rds
臺大新生教室南側,net_borrow,0.21216272716355922,4.67727347073994,2.8826650952912067,743,models/model_臺大新生教室南側_net_borrow.rds
臺大新體育館東南側,borrow_count,0.6024540262707913,13.61652004146545,9.194156381477987,743,models/model_臺大新體育館東南側_borrow_count.rds
臺大新體育館東南側,return_count,0.5757942196717691,13.155214707720729,9.247054745703247,743,models/model_臺大新體育館東南側_return_count.rds
臺大新體育館東南側,net_borrow,0.1961657651317834,10.592878415499849,6.54859213440352,743,models/model_臺大新體育館東南側_net_borrow.rds
臺大明達館北側(員工宿舍),borrow_count,0.3157069741768429,2.152198888205699,1.502219936500024,743,models/model_臺大明達館北側(員工宿舍)_borrow_count.rds
臺大明達館北側(員工宿舍),return_count,0.27240820425301104,1.7697574868022106,1.2293686592712458,743,models/model_臺大明達館北側(員工宿舍)_return_count.rds
臺大明達館北側(員工宿舍),net_borrow,0.057640162728232025,2.3395756293297425,1.545174063098642,743,models/model_臺大明達館北側(員工宿舍)_net_borrow.rds
臺大明達館機車停車場,borrow_count,0.47712943605192515,4.725721247400976,3.0490874003040456,743,models/model_臺大明達館機車停車場_borrow_count.rds
臺大明達館機車停車場,return_count,0.442496774762811,4.299926178017394,2.888303812050761,743,models/model_臺大明達館機車停車場_return_count.rds
臺大明達館機車停車場,net_borrow,-0.006982305532880373,4.588210131569274,2.7498007924209498,743,models/model_臺大明達館機車停車場_net_borrow.rds
臺大森林館北側,borrow_count,0.5502111462680686,2.351817715231656,1.5488072643194617,743,models/model_臺大森林館北側_borrow_count.rds
臺大森林館北側,return_count,0.5745749448453061,2.274117200271182,1.3978340624378494,743,models/model_臺大森林館北側_return_count.rds
臺大森林館北側,net_borrow,0.19595311103975588,2.1538757008458913,1.395866073989565,743,models/model_臺大森林館北側_net_borrow.rds
臺大椰林小舖,borrow_count,0.5126505820954053,7.892052752603409,5.996380455352663,743,models/model_臺大椰林小舖_borrow_count.rds
臺大椰林小舖,return_count,0.6110596932794652,8.083653640603396,5.664790454316846,743,models/model_臺大椰林小舖_return_count.rds
臺大椰林小舖,net_borrow,0.20656278656881466,6.835561428168423,4.757278786981713,743,models/model_臺大椰林小舖_net_borrow.rds
臺大樂學館東側,borrow_count,0.4839163744764373,11.3962568584491,7.569952571019407,743,models/model_臺大樂學館東側_borrow_count.rds
臺大樂學館東側,return_count,0.5131445571510648,10.818788034442676,6.964689626235574,743,models/model_臺大樂學館東側_return_count.rds
臺大樂學館東側,net_borrow,0.03906944889048802,6.0193151839297165,3.733670097246833,743,models/model_臺大樂學館東側_net_borrow.rds
臺大法人語言訓練中心前,borrow_count,0.5195546051315814,4.524340459366588,2.70274847230722,743,models/model_臺大法人語言訓練中心前_borrow_count.rds
